# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "-t" "exon" "-g" "gene_id" "-a" "/home/flst8788/Genome-Analysis-1MB462/analysis/03_annotation/braker_chr3_ET/braker.gtf" "-o" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/featurecounts/counts.txt" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_1.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_2.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_3.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_1.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_2.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_1.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_2.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_3.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_1.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_2.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_3.sorted.bam
g2947	contig_91_pilon	1208097	1209689	+	1593	837	1060	1444	2372	1590	1625
g2948	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1210425;1212187;1212796;1213161;1213504;1213940;1214461;1215119;1215749;1216375;1216823;1217174;1217379;1217787;1218445;1218826;1219499;1219572	1210694;1212384;1212972;1213364;1213728;1214050;1214724;1215360;1215989;1216534;1216971;1217206;1217457;1217808;1218517;1219069;1219503;1219640	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2766	6056	3292	3212	2180	1403	3456
g2949	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1221978;1222961;1224572;1224788;1225176	1222416;1224342;1224742;1224904;1225697	-;-;-;-;-	2631	3205	540	435	1333	1273	936
g2950	contig_91_pilon;contig_91_pilon	1230496;1233449	1230704;1234064	+;+	825	25	16	16	38	44	32
g2951	contig_91_pilon;contig_91_pilon;contig_91_pilon	1234847;1235542;1235845	1235495;1235717;1236141	+;+;+	1122	2813	1478	2463	2117	822	136
g2952	contig_91_pilon	1236163	1236372	+	210	297	85	273	175	53	6
g2953	contig_91_pilon	1246620	1246907	-	288	2	0	0	4	2	0
g2954	contig_91_pilon;contig_91_pilon	1247856;1248852	1248725;1249148	+;+	1167	1684	2352	2873	3711	3873	3536
g2955	contig_91_pilon	1249170	1249379	+	210	45	202	204	304	335	421
g2956	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1257211;1257416;1260875;1261526;1261657;1262232;1262847;1263665;1263885	1257299;1257728;1261090;1261540;1261950;1262456;1263041;1263726;1264080	+;+;+;+;+;+;+;+;+	1605	60	491	632	61	83	159
g2957	contig_91_pilon;contig_91_pilon;contig_91_pilon	1264977;1265287;1265633	1265123;1265484;1265821	-;-;-	534	216434	39392	56481	57811	82824	57338
g2958	contig_91_pilon	1265933	1266301	+	369	46	24	30	38	79	23
g2959	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1269278;1269617;1270295;1270809	1269466;1270172;1270461;1271372	+;+;+;+	1476	387	214	225	630	461	657
g2960	contig_91_pilon	1272382	1272591	+	210	2	0	3	73	23	69
g2961	contig_91_pilon;contig_91_pilon	1272691;1273661	1273071;1273816	+;+	537	2205	2119	2872	2923	2963	3396
g2962	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1275825;1276908;1278126;1278351	1276577;1277277;1278141;1278372	-;-;-;-	1161	4384	3920	4816	1105	1302	1314
g2963	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1278392;1278758;1278848;1278973;1278977;1279543;1279543	1278417;1278785;1278878;1279343;1279343;1280803;1280803	-;-;-;-;-;-;-	1717	1310	753	1054	2005	833	1024
g2964	contig_91_pilon	1281344	1281760	-	417	45	11	30	111	40	28
g2965	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1289740;1290179;1290393;1290691;1290910;1291154;1291416;1291618;1291958;1292147;1292521;1293098;1293396;1293615;1293919;1294819	1289876;1290252;1290557;1290761;1291035;1291189;1291493;1291660;1292012;1292228;1292588;1293336;1293443;1293781;1294107;1295043	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1803	162	75	36	899	1150	348
g2966	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1296495;1298342;1298717;1299524	1298104;1298572;1299381;1299777	-;-;-;-	2760	11228	928	1172	11628	7894	16243
g2967	contig_91_pilon	1300253	1300609	+	357	730	59	47	587	375	798
g2968	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1300618;1304907;1305251;1305257;1305907;1305907	1300819;1304995;1305814;1305814;1306014;1306014	-;-;-;-;-;-	963	0	0	0	6	0	0
g2969	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1310358;1310635;1311143;1311360;1312550;1312759;1312934;1313263;1313498;1313738;1314173;1314431;1314846;1315155;1315916;1316248;1316359;1316621;1317413;1317817	1310495;1310708;1311192;1311399;1312709;1312851;1312986;1313441;1313682;1314076;1314218;1314509;1314887;1315563;1316126;1316310;1316572;1317365;1317760;1318128	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3780	1292	849	2134	7082	3538	2407
g2970	contig_91_pilon	1318284	1318574	-	291	0	8	1	0	2	0
g2971	contig_91_pilon	1324126	1324527	+	402	0	0	7	10	8	11
g2972	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1324631;1325042;1325590;1326047;1326433;1326581;1327150;1327482;1327821;1328239;1328490;1328631;1329025;1329266;1329720;1329862;1329997;1331624	1324933;1325540;1325991;1326389;1326459;1326791;1327155;1327555;1328157;1328278;1328527;1328969;1329209;1329444;1329772;1329947;1330069;1331743	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3315	2060	958	2097	3873	1983	1318
g2973	contig_91_pilon	1337989	1339407	+	1419	302	1293	1171	179	171	291
g2974	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1342099;1343236;1348009;1348235;1348585;1349233	1342332;1343394;1348175;1348535;1349101;1349600	-;-;-;-;-;-	1746	0	0	0	0	0	0
g2975	contig_91_pilon;contig_91_pilon	1349796;1350127	1349837;1350513	+;+	429	0	0	0	0	0	0
g2976	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1350996;1351193;1351649;1351935;1352297;1352508;1353213	1351039;1351438;1351769;1352089;1352360;1352657;1353593	+;+;+;+;+;+;+	1161	0	0	0	0	0	0
g2977	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1355271;1355841;1356142;1357200;1357465;1357791;1358222	1355570;1355950;1356488;1357261;1357554;1357934;1358323	+;+;+;+;+;+;+	1155	557	880	650	313	475	498
g2978	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1359630;1359630;1361334;1361334;1361454;1361454;1361668;1361668;1361993;1361993;1362118;1362118	1361236;1361188;1361386;1361386;1361554;1361554;1361914;1361914;1362017;1362017;1362145;1362145	-;-;-;-;-;-;-;-;-;-;-;-	2061	356	1248	1186	250	252	131
g2979	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1362489;1367040;1367312;1368551	1362664;1367252;1367507;1368589	+;+;+;+	624	55	85	66	32	0	58
g2980	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1368617;1368894;1368997;1369718;1370383;1370703;1371108;1371349;1371586;1372003;1372285;1372562;1372780;1373015;1373303	1368636;1368949;1369409;1369901;1370520;1370873;1371211;1371416;1371758;1372072;1372439;1372664;1372867;1373158;1373617	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2202	1886	2026	2255	770	363	1909
g2981	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1374943;1375118;1375702;1375770;1375942;1376548;1378617;1378887	1374949;1375171;1375728;1375787;1376412;1376659;1378774;1379182	-;-;-;-;-;-;-;-	1143	47	64	92	64	1	48
g2982	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1389524;1389820;1390311;1390898	1389722;1390204;1390833;1391143	+;+;+;+	1353	0	0	0	0	0	0
g2983	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1410039;1410608;1410756;1411266;1411462;1412512;1412897;1413356;1414367;1414613;1415176;1415536;1415844;1416221;1416984;1417294;1417966;1418581;1418970;1419579;1420080;1420392;1421554;1422003;1422616;1423243;1423834;1425585	1410464;1410714;1411088;1411330;1411634;1412574;1412954;1413712;1414512;1414787;1415441;1415622;1415990;1416537;1417189;1417531;1418305;1418793;1419059;1419785;1420286;1420863;1421646;1422118;1422762;1423317;1425228;1425998	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6933	2461	1921	2103	6037	2823	4085
g2984	contig_91_pilon	1437993	1438913	-	921	27	4	10	9	43	23
g2985	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1440146;1448291;1448641;1448722;1449394;1449769;1450353;1450728;1451123;1451384	1440561;1448529;1448675;1448781;1449472;1449914;1450571;1450943;1451212;1451584	+;+;+;+;+;+;+;+;+;+	1701	3313	2318	2251	1111	1724	1505
g2986	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1452537;1454263;1455040;1457061;1462985	1453031;1454362;1455271;1457582;1463105	-;-;-;-;-	1470	0	0	0	2	0	0
g2987	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1486377;1486377;1486677;1486677;1487410;1487410;1487692;1487692;1487963;1487963;1488345;1488350;1488646;1488927	1486569;1486569;1487065;1487065;1487541;1487541;1487768;1487768;1488098;1488098;1488359;1488490;1488704;1488987	+;+;+;+;+;+;+;+;+;+;+;+;+;+	1193	741	725	735	667	541	918
g2988	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1492114;1492410;1492516;1492673;1493013;1493073;1493220;1493220;1493742;1493742;1493796;1493796;1494250;1494250;1495242;1495242;1495450;1495450;1495823;1495823;1496377;1496377;1496526;1496526	1492281;1492426;1492565;1492858;1493063;1493104;1493430;1493430;1493753;1493753;1494181;1494181;1495140;1495140;1495269;1495269;1495535;1495535;1496262;1496262;1496461;1496461;1496723;1496723	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2841	5525	2735	3111	1049	566	889
g2989	contig_91_pilon	1495824	1496147	+	324	0	0	0	0	0	0
g2990	contig_91_pilon	1496199	1496624	+	426	0	0	0	0	0	0
g2991	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1498521;1499049;1499541;1500127	1498632;1499149;1499609;1500213	-;-;-;-	369	17	14	4	3	0	0
g2992	contig_91_pilon	1500588	1500791	+	204	17	5	0	3	0	17
g2993	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1500912;1501156;1501350;1501765;1502323;1502470;1502857;1503019;1503398;1503594;1504135	1500940;1501215;1501420;1501844;1502332;1502506;1502898;1503060;1503453;1503658;1504140	+;+;+;+;+;+;+;+;+;+;+	498	216	170	108	87	11	148
g2994	contig_91_pilon;contig_91_pilon	1505019;1505302	1505083;1505476	-;-	240	0	0	0	0	0	0
g2995	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1505534;1505783;1506041;1506346;1506586;1506882;1507225;1507431;1508695;1508908	1505680;1505900;1506129;1506412;1506731;1507075;1507315;1508567;1508780;1508980	+;+;+;+;+;+;+;+;+;+	2148	333	182	179	305	152	305
g2996	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1518447;1519137;1519413;1519490;1520053	1518877;1519170;1519447;1519505;1520070	+;+;+;+;+	534	137	120	69	22	8	25
g2997	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1520232;1520670;1521210;1521526;1521854;1522393	1520570;1520826;1521394;1521760;1522269;1522788	+;+;+;+;+;+	1728	540	608	345	194	180	167
g2998	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1525438;1525758;1526198;1526464;1526655;1527086;1527422;1527662;1527822	1525563;1525826;1526357;1526526;1526845;1527223;1527530;1527717;1528028	-;-;-;-;-;-;-;-;-	1119	87	37	73	13	2	34
g2999	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1528227;1529403;1529635;1529966;1530219;1531047	1528313;1529423;1529715;1530110;1530477;1531116	-;-;-;-;-;-	663	171	341	228	196	114	311
g3000	contig_91_pilon	1531206	1531643	+	438	0	0	0	1	0	0
g3001	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1535296;1535823;1536555;1537059;1538044;1539119;1540367;1540586;1540758;1541821;1542131;1545663	1535537;1536023;1536960;1537400;1538609;1539301;1540538;1540678;1540854;1541837;1545503;1547176	+;+;+;+;+;+;+;+;+;+;+;+	7206	1644	2261	2615	1489	336	2130
g3002	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1547854;1548116;1548768;1552732;1556692;1557309	1547870;1548341;1548789;1552779;1556975;1557383	-;-;-;-;-;-	672	1108	609	846	1571	1208	1595
g3003	contig_91_pilon	1563224	1563601	-	378	25	17	37	51	23	30
g3004	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1563773;1565034;1565507;1566023;1566355;1566629;1567054;1567424;1567858	1564403;1565323;1565785;1566149;1566416;1566853;1567175;1567562;1568019	+;+;+;+;+;+;+;+;+	2037	960	781	1068	3345	2496	2704
g3005	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1568734;1569101;1570115;1570225;1570549;1570834;1571225;1571254;1572038;1572038	1568888;1569247;1570135;1570243;1570699;1570908;1571791;1571791;1572366;1572366	+;+;+;+;+;+;+;+;+;+	1464	505	617	666	114	142	296
g3006	contig_91_pilon;contig_91_pilon	1583792;1584098	1583997;1585481	+;+	1590	0	0	0	0	0	0
g3007	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1587668;1587668;1589890;1589890;1590557;1590557;1590900;1590900;1591169;1591169;1591376;1591428;1591478;1591512;1591921;1591921	1589541;1589541;1590042;1590042;1590858;1590858;1590947;1590947;1591190;1591190;1591385;1591462;1591794;1591794;1592017;1592017	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2858	4639	1893	2343	1623	2074	2748
g3008	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1592117;1592425;1593315;1593611;1594092;1594300;1594618;1594740;1595275	1592191;1592823;1593431;1593696;1594155;1594309;1594661;1594751;1595292	+;+;+;+;+;+;+;+;+	825	1547	1466	1708	610	989	1149
g3009	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1596528;1596997;1597879;1598571;1599032;1599562;1600063;1600537;1601033;1601459;1601810;1602028;1602576;1603005;1603237;1603485;1603778;1604162;1604465;1604863;1605319;1605656;1606079;1606587;1607167;1607431;1607651;1607978;1608815;1609199;1609616;1609830;1610615;1611977;1612061	1596782;1597757;1598095;1598759;1599364;1599909;1600269;1600674;1601215;1601569;1601885;1602158;1602769;1603131;1603381;1603522;1603885;1604320;1604537;1604906;1605510;1605823;1606369;1606901;1607304;1607528;1607709;1608090;1608978;1609361;1609705;1609854;1610656;1612008;1612324	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5991	3458	3795	3036	1458	1083	1655
g3010	contig_91_pilon	1612054	1612440	+	387	0	0	0	0	2	0
g3011	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1613787;1613787;1614348;1614348;1614969;1615054;1615191;1615195	1614145;1614145;1614579;1614579;1614994;1615074;1615458;1615458	-;-;-;-;-;-;-;-	906	546	1909	1807	598	594	1207
g3012	contig_91_pilon	1615618	1615875	+	258	21	55	39	75	32	168
g3013	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1617192;1617192;1617505;1617514;1617780;1617780;1618117;1618117;1618454;1618454;1618755;1618755;1619229;1619229;1619429;1619518;1619518;1620080;1620080;1620080	1617208;1617208;1617540;1617540;1617980;1617980;1618283;1618283;1618601;1618601;1618792;1618792;1619364;1619364;1619832;1619832;1619832;1620275;1620275;1620275	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1343	1387	896	1290	1803	3768	5199
g3014	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1620300;1620300;1621013;1621013;1621321;1621321;1621438;1621438;1621944;1621944;1622221;1622221;1622428;1622428;1622685;1622685;1624105;1624105;1624422;1624422;1624992;1624992;1625635;1625635;1626128;1626128;1626390;1626390;1626499;1626721;1626721;1626721;1626953;1626953;1626953;1627244;1627244;1627244;1627633;1627798;1627798;1627798;1628211;1628211;1628211;1628619;1628619;1628619;1628969;1628969;1628969;1629119;1629119;1629119;1629387;1629387;1629387	1620319;1620319;1621074;1621074;1621391;1621391;1621539;1621539;1622000;1622000;1622234;1622234;1622611;1622611;1622821;1622821;1624303;1624303;1624809;1624809;1625371;1625371;1625966;1625966;1626272;1626272;1626504;1626452;1626504;1626793;1626793;1626793;1627035;1627035;1627035;1627276;1627276;1627276;1627664;1628023;1628023;1628023;1628290;1628290;1628290;1628690;1628690;1628690;1629077;1629077;1629077;1629275;1629275;1629275;1629486;1629486;1629486	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3171	1034	993	814	689	525	1354
g3015	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1632481;1632791;1633275;1633652;1633915;1634293;1634859;1635278;1635582	1632672;1633045;1633482;1633749;1634098;1634405;1635047;1635473;1635913	-;-;-;-;-;-;-;-;-	1767	235	234	344	232	307	241
g3016	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1640356;1640356;1642903;1642903;1643304;1643392;1643626;1644415;1644415	1640619;1640619;1643256;1643256;1643501;1643600;1643686;1644524;1644475	+;+;+;+;+;+;+;+;+	1086	73	127	118	115	57	78
g3017	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1644675;1645150;1645559;1645901;1646240;1646542;1647003;1647390;1647881;1648382;1648692;1649014;1649524;1649761;1650056;1650382;1650554;1650955;1651294;1651536;1651994;1652123;1652385;1652958;1653397;1654007;1654268;1654689;1655039;1655391;1658423;1658616	1644996;1645271;1645717;1645984;1646376;1646764;1647110;1647459;1648005;1648492;1648793;1649094;1649603;1649824;1650211;1650429;1650670;1651066;1651376;1651721;1652027;1652169;1652653;1653086;1653565;1654114;1654472;1654795;1655119;1658286;1658457;1658687	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6642	3369	6243	4568	3046	1231	3048
g3018	contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon;contig_91_pilon	1664617;1664878;1665111;1665590;1666348	1664721;1665011;1665474;1665701;1666355	-;-;-;-;-	723	25	43	35	50	58	130
